Country	ISO3	ISO2	Continent	Region	Capital_Latitude_Deg	Capital_Longitude_Deg	Land_Area_SqKm	Population_2024_Ref_Millions	GDP_2024_Ref_USD_Billions	Population_Year_Millions	Year	Fossil_Share_Of_Energy_Index	Energy_Intensity_Index	Temperature_Anomaly_C	Annual_Mean_Temp_C	Summer_Mean_Temp_C	Winter_Mean_Temp_C	Annual_Max_Temp_C	Annual_Min_Temp_C	Heatwave_Days	Frost_Days	CO2_Emissions_Total_Mt	CO2_Per_Capita_Tons	Methane_Emissions_MtCO2e	N2O_Emissions_MtCO2e	CO2_Energy_Sector_Mt	CO2_Transportation_Mt	CO2_Industrial_Mt	CO2_Residential_Mt	Renewable_Energy_Share_Pct	Coal_Consumption_Mtoe	Oil_Consumption_Mtoe	Gas_Consumption_Mtoe	Electricity_Consumption_TWh	Solar_Installed_Capacity_GW	Wind_Installed_Capacity_GW	Hydropower_Installed_Capacity_GW	Forest_Area_Pct_Of_Land	Forest_Area_SqKm	Forest_Loss_Annual_SqKm	Deforestation_Rate_Pct_Per_Yr	Reforestation_Annual_SqKm	Tree_Cover_Net_Change_Pct_Per_Yr	Annual_Rainfall_mm	Drought_Index_0to100	Water_Avail_CumM3PerCapita	Freshwater_Withdrawal_Pct_Of_Avail	Groundwater_Level_Index	Crop_Yield_Index	Soil_Moisture_Pct	Irrigated_Area_Pct_Of_AgriLand	Agri_Emissions_MtCO2e	Food_Production_Index	Sea_Level_Rise_Cumulative_mm	Ocean_Heat_Content_Index	Ocean_pH	Coastal_Flood_Risk_Index_0to100	PM2_5_Annual_Mean_ug_m3	PM10_Annual_Mean_ug_m3	Air_Quality_Index	Ozone_Annual_Mean_ug_m3	NO2_Annual_Mean_ug_m3	Hurricanes	Cyclones	Flood_Events_Count	Wildfires	Landslides	Tornadoes	Storms	Drought_Events_Count	Endangered_Species_Count	Habitat_Loss_Index_0to100	Coral_Bleaching_Index_0to100	Wildlife_Population_Index	GDP_Current_USD_Billions	GDP_Loss_Climate_Pct	Climate_Damage_Cost_USD_Billions	Agricultural_Loss_USD_Billions	Disaster_Insurance_Loss_USD_Billions	Heat_Related_Deaths	Heat_Related_Deaths_Per_Million	Respiratory_Disease_Rate_Per100k	Climate_Displaced_Persons_Thousands	Food_Insecurity_Index_0to100	Climate_Policy_Score_0to100	Net_Zero_Target	Carbon_Tax_USD_Per_TonCO2	Protected_Area_Pct_Of_Land	Environmental_Performance_Index	SDG_Climate_Score_0to100	ESG_Score	Green_Investment_USD_Billions	Recycling_Rate_Pct
Afghanistan	AFG	AF	Asia	Southern Asia	33.93	67.71	652860	42.6	17.3	33.228	1990	0.115025741	0.089029974	-0.108	13.69	21.11	6.84	27.71	2.28	17	65	0.017	0.518	3.09	0.972	0.006	0.001	0.004	0.006	3.69	0.55	0.531	0.427	29.47	0	0	0.056	43.95	286932	93.73	0.033	22.68	-0.0109	1317.6	45.9	9461.2	14.97	97.5	83.2	36.2	25.6	0.849	70.4	0	-4.05	8.0934	14.8	6.39		20.7	14.73	11.92	0	0	2	1	0	0	1	2	161	0		103.7	5.788	0.658	0.038	0.0389	0.0183	98	2.949	249.1	6.8	68.2	22.2	0	0	7.26	32.7	31.1		0	6.5
Afghanistan	AFG	AF	Asia	Southern Asia	33.93	67.71	652860	42.6	17.3	33.56	1991	0.115025741	0.089029974	-0.246	13.33	19.68	6	28.11	-2.18	22	57	0.019	0.569	3.078	0.97	0.007	0.002	0.003		8.3	0.527	0.512	0.476	32.08	0	0	0.065	39	254615.4	152.79	0.06	9.3	-0.022	1348.8	44.3	9396.4	10.03	98	88.6	36.1	22.4	0.629	80.4	3.17	-6.49	8.0933	18.3	12.19	20.07	28.7	22.61	7.91	0	0	1	2	0	0	1	1	134	9.9		96.3	5.699	1.583	0.09	0.0367		126.3	3.763	267.4	4.85	68.5	18.5	0	0	8.12	23.5	43.8	24.8	0	3
Afghanistan	AFG	AF	Asia	Southern Asia	33.93	67.71	652860	42.6	17.3	33.893	1992	0.115025741	0.089029974	0.002	12.48	19.42	5.91	27.45	-0.09	23	53	0.019	0.575	2.664	0.991	0.006	0.003	0.004	0.006	11.7	0.45	0.614	0.457	30.71	0	0	0.058	40.93	267215.6	156.21	0.058	19.08	-0.021	1505.5	45.4	9332.6	8.18	95.5	93.2	33.1	22	0.792	76.1	7.78	1.52	8.1046	9.7	8.11		9.5	12.47	15.15	0	0	3	3	0	0	1	2	172	11.3		92.7	5.892	0.139	0.008	0.0376		114.2	3.369	256.1	10.1	69.9	16.7	0	0	8.94	27.9	30.4	40.9	0	7.4
Afghanistan	AFG	AF	Asia	Southern Asia	33.93	67.71	652860	42.6	17.3	34.225	1993	0.115025741	0.089029974	-0.075	12.66	19.97	5.68	24.64	-1.66	19	50	0.02	0.587	3.05	0.917	0.007	0.002	0.004	0.007	6.13	0.308	0.589	0.614	31.6	0	0	0.061	35.15	229480.3	81	0.035	14.21	-0.0102	1396.8	42.2	9269.6	8.8	106.4	95	42	14.6	0.736	79.7	7.55	-3.14	8.0916	11.7	11.62		34.7	13.05	9.34	0	0	2	3	1	0	1	0	148	0		100.7	6.44	0.483	0.031	0.0393	0.032	110.4	3.226	285.5	3.15	57.3	19.5	0	0	6.27	24.5	38.1	37.8	0	15.2
Afghanistan	AFG	AF	Asia	Southern Asia	33.93	67.71	652860	42.6	17.3	34.557	1994	0.115025741	0.089029974	0.077	14.32	21.1	6.98	28.04	-1.21	17	54	0.02	0.569	2.811	0.905	0.006	0.003	0.004	0.007	9.25	0.373	0.776	0.392	33.69	0	0	0.052	32.82	214268.7	70.02	0.033	15.26	-0.0084	1459.9	35.2	9207.4	11.37	102.5	95	40.7	22.8	0.853	88	10.3	0.17	8.0906	4.3		7.66		27.19	13.12	0	0	3	3	1	1	1	0	158	8.5		93.3	7.042	1.427	0.1	0.0395		114.5	3.313	205.5	5.49	57.2	11.7	0	0	0.1	24	35.1	23.4	0	3.9
Afghanistan	AFG	AF	Asia	Southern Asia	33.93	67.71	652860	42.6	17.3	34.889	1995	0.115025741	0.089029974	0.013	14.99	22.56	7.4	26.67	0.19	20	57	0.02	0.576	2.862	1.056	0.007	0.003	0.003	0.007	6.04	0.229	0.861	0.449	34.77	0	0	0.059	44.14	288172.4	111	0.039	15.48	-0.0146	1347.1	46.5	9146.1	7.02	100.3	96.4	47.6	19.5	0.82	88	14.49	0.23	8.0982	16.4		14.94	20.6	23.49	4.32	0	0	1	1	0	0	0	1	145	0.5		99.7	6.669	1.417	0.094	0.0424		123.1	3.528	331.1	3.36	64	20.1	0	0	7.49	37.9	25.6	39.8	0	3.7
Afghanistan	AFG	AF	Asia	Southern Asia	33.93	67.71	652860	42.6	17.3	35.222	1996	0.115025741	0.089029974	0.019	14.7	21.54	7.83	27.64	-0.04	22	52	0.019	0.554	3.24	0.979	0.008	0.002	0.004	0.005	8.56	0.293	0.807	0.462	35.1	0	0	0.06	40.64	265322.3	122.98	0.046	20.13	-0.0158	1370.7	38	9085.6	10.13	105.7	93.3	41.6	26.6	0.905	89.7	21.45	1.93	8.0916	18.7	11.81	17.89	21.6	23.68	3.12	0	0	1	2	1	0	1	2	163	7.6		90.5	7.107	0.975	0.069	0.0417	0.0294	117.1	3.325	286.9	3.59	62.4	19	0	0	10.22	24.9	35.2	22.3	0	8.1
Afghanistan	AFG	AF	Asia	Southern Asia	33.93	67.71	652860	42.6	17.3	35.554	1997	0.115025741	0.089029974	-0.112	12.8	19.99	5.71	26	-0.42	17	52	0.024	0.683	2.825	0.905	0.008	0.004	0.004	0.008	14.55	0.247	0.486	0.835	35.27	0	0	0.06	35.59	232352.9	98.82	0.043	17.37	-0.0125	1267.4	44.9	9025.9	13.17	104.5	85.7	43.4	30.7	0.733	75.2	20.96	-4.04	8.0914	14.2	6.65	10.71	18.4	22.53	8.21	0	0	4	5	0	0	1	0	172	4.4		102.4	7.967	1.03	0.082	0.0524	0.0416	63.8	1.794	267.7	4.59	62.6	21.9	0	0	10.78	25.1	35.5	33	0	0
Afghanistan	AFG	AF	Asia	Southern Asia	33.93	67.71	652860	42.6	17.3	35.886	1998	0.115025741	0.089029974	-0.148	14.06	21.16	7.79	26.26	-0.54	19	60	0.024	0.676	3.04	0.943	0.008	0.003	0.005	0.008	14.74	0.496	0.53	0.581	38.44	0	0	0.059	34.91	227913.4	76.9	0.034	20.67	-0.0086	1360.7	39.5	8966.9	7.32	99.6	88.2	40.7	27	0.892	82.1	23.47	-2.27	8.0851	22.3	9.96	16.73	32	22.53	8.7	0	0	0	1	1	0	0	2	162	12.2		93.1	7.571	1.626	0.123	0.0463	0.0212	121.4	3.383	374.7	3.37	62.8	28.1	0	0	14.17	21.2	30.6	37.9	0	2.4
Afghanistan	AFG	AF	Asia	Southern Asia	33.93	67.71	652860	42.6	17.3	36.219	1999	0.115025741	0.089029974	-0.015	14.04	21.51	7.11	30.42	-1.45	22	51	0.023	0.649	3.353	1.001	0.008	0.003	0.004	0.009	10.48	0.395	0.654	0.565	37.88	0	0	0.068	36.62	239077.3	130.57	0.055	8.89	-0.0186	1512.3	46.7	8908.8	16.99	98.6	89.8	39.3	19.4	0.78	83.5	26.08	-1.13	8.0821	15.8	9.41	14.86	19	27.11	4.03	0	0	1	0	1	1	0	1	182	15		93	8.486	1.365	0.116	0.0558	0.0174	80.1	2.212	212	2.04	64.8	29.5	0	0	10.49	24.5	30.4	37.5	0	10.9
